time,mean_spectrum,var_spectrum,enp_spectrum,mean_IQ,var_IQ,KL_spectrum,RMSE_spectrum,CS_spectrum,exceeding_count,time_seq,lable
2262210,21.98931074,22492.09186,24.17471163,0.01315508,3.21E-05,0.318742082,0.194395579,0.772659949,1.689803571,2.923611111,0
2262220,21.93425148,24223.05795,24.16558725,0.013698732,3.29E-05,0.320519101,0.055059258,0.772202538,1.623116071,2.930555556,0
2262230,21.84270769,22450.96583,24.1903472,0.013128774,3.24E-05,0.323892741,0.091543791,0.772238516,1.637828571,2.9375,0
2262240,21.6030322,22979.58409,24.06463727,0.013319787,3.19E-05,0.319942141,0.239675494,0.781329113,1.708271429,2.944444444,0
2262250,20.9076714,24417.80244,24.10138019,0.013674643,3.49E-05,0.328453012,0.695360803,0.75578565,1.671727679,2.951388889,0
2262300,21.39579094,23603.6257,24.05783233,0.013464743,3.35E-05,0.322349645,0.488119541,0.758807228,1.730715179,2.958333333,0
2262310,21.35169137,22514.65179,24.05967935,0.013164733,3.18E-05,0.314723912,0.044099571,0.779928077,1.6597375,2.965277778,0
2262320,21.876589,24638.90725,24.00896447,0.013841664,3.27E-05,0.316923984,0.524897631,0.780622644,1.759175893,2.972222222,0
2262330,21.34832916,25096.42192,23.97394691,0.014058128,3.05E-05,0.315138329,0.528259834,0.781816705,1.727099107,2.979166667,0
2262340,21.19122968,26983.4621,23.96406616,0.014553536,3.31E-05,0.324338997,0.157099479,0.77043141,1.666777679,2.986111111,0
2262350,21.44593346,27783.03776,23.93230131,0.014830103,3.22E-05,0.312358487,0.254703777,0.779463449,1.700710714,2.993055556,0
2270000,22.22103814,28005.32328,23.88868758,0.014838765,3.43E-05,0.316136439,0.775104674,0.778420209,1.770975893,3,0
2270010,21.10062735,27746.21259,23.84212558,0.014827843,3.18E-05,0.356579582,1.120410783,0.770423412,1.519550893,3.006944444,0
2270020,20.5217463,29388.2687,23.83603325,0.015160791,3.63E-05,0.329546375,0.578881049,0.775407836,1.378194643,3.013888889,0
